start_ts,end_ts,flow,avg_flow,std,pred
2016-01-04 07:04:03,2016-01-04 07:33:32,1829,30.483333333333334,9.66693965132,25.78202959992997
2016-01-04 07:34:02,2016-01-04 08:03:33,1895,31.583333333333332,7.29449944974,33.816339966336855
2016-01-04 08:04:04,2016-01-04 08:33:33,1665,27.75,7.39509972887,23.190763358749702
2016-01-04 08:34:04,2016-01-04 09:03:33,1499,24.983333333333334,6.95579294945,23.345244825991134
2016-01-04 09:04:04,2016-01-04 09:33:33,1267,21.116666666666667,6.95243762208,16.40178170318924
2016-01-04 09:34:03,2016-01-04 10:03:33,1229,20.483333333333334,6.62442869654,24.91561232503511
2016-01-04 10:04:04,2016-01-04 10:33:33,1258,20.966666666666665,5.18641387559,19.800849621169125
2016-01-04 10:34:02,2016-01-04 11:03:33,1296,21.6,6.22949971239,21.7296902253482
2016-01-04 11:04:02,2016-01-04 11:33:33,1415,23.583333333333332,6.53016504811,20.376970887941482
2016-01-04 11:34:03,2016-01-04 12:03:33,1486,24.766666666666666,6.80530838553,25.658559903580766
2016-01-04 12:04:03,2016-01-04 12:33:33,1506,25.1,7.39301472112,21.641959526000697
2016-01-04 12:34:03,2016-01-04 13:03:34,1533,25.55,7.29708846048,28.021686653344073
2016-01-04 13:04:02,2016-01-04 13:33:32,1553,25.883333333333333,6.99307196842,27.94888454861582
2016-01-04 13:34:02,2016-01-04 14:03:33,1610,26.833333333333332,6.61101773977,25.36177894145037
2016-01-04 14:04:03,2016-01-04 14:33:34,1727,28.783333333333335,7.07128386897,24.587798642067582
2016-01-04 14:34:03,2016-01-04 15:03:32,1808,30.133333333333333,8.27136962997,30.533831036633337
2016-01-04 15:04:03,2016-01-04 15:33:32,2002,33.36666666666667,8.27841906539,37.99612703806412
2016-01-04 15:34:03,2016-01-04 16:03:33,2013,33.55,7.91712279388,28.070696076015746
2016-01-04 16:04:03,2016-01-04 16:33:33,1932,32.2,8.33026610219,33.986506011745455
2016-01-04 16:34:03,2016-01-04 17:03:33,1871,31.183333333333334,7.88773661381,30.554866635239705
2016-01-04 17:04:02,2016-01-04 17:33:33,1936,32.266666666666666,7.70468832739,34.149253230162365
2016-01-04 17:34:03,2016-01-04 18:03:33,1610,26.833333333333332,7.16278964898,26.087311675629568
2016-01-04 18:04:03,2016-01-04 18:33:34,1520,25.333333333333332,5.92640044396,24.910225528078335
2016-01-04 18:34:04,2016-01-04 19:03:33,1235,20.583333333333332,6.28037065431,23.033639035079872
2016-01-04 19:04:02,2016-01-04 19:33:32,1198,19.966666666666665,6.53188759514,16.741113970080562
2016-01-04 19:34:02,2016-01-04 20:03:33,1005,16.75,6.45916661291,20.569105477632355
2016-01-04 20:04:03,2016-01-04 20:33:33,842,14.033333333333333,4.99988888765,11.7630537182522
2016-01-04 20:34:03,2016-01-04 21:03:34,814,13.566666666666666,5.57185387062,10.825249516374653
2016-01-04 21:04:04,2016-01-04 21:33:35,761,12.683333333333334,5.49391077062,12.718677757355533
2016-01-04 21:34:03,2016-01-04 22:03:33,621,10.35,3.85497514043,12.664983743580734
2016-01-04 22:04:03,2016-01-04 22:33:33,670,11.166666666666666,4.54300439015,9.748195758338774
2016-01-04 22:34:05,2016-01-04 23:03:33,504,8.4,3.02875111776,9.550998694172009
2016-01-04 23:04:04,2016-01-04 23:33:34,413,6.883333333333334,2.81715972016,7.3258542423194655
2016-01-04 23:34:03,2016-01-05 00:03:32,335,5.583333333333333,2.53174292183,5.418465535078354
2016-01-05 00:04:03,2016-01-05 00:33:33,303,5.05,2.57827461687,5.987840358778468
2016-01-05 00:34:05,2016-01-05 01:03:33,232,3.8666666666666667,2.66749986983,5.382139759279
2016-01-05 01:04:03,2016-01-05 01:33:33,205,3.4166666666666665,2.36143788588,2.4592613514427777
2016-01-05 01:34:04,2016-01-05 02:03:33,160,2.6666666666666665,2.0628997929,2.915539099013464
2016-01-05 02:04:03,2016-01-05 02:33:33,129,2.15,1.65151445649,1.610419304948711
2016-01-05 02:34:03,2016-01-05 03:03:33,119,1.9833333333333334,1.48875413984,1.653365283010586
2016-01-05 03:04:04,2016-01-05 03:33:33,153,2.55,2.14806114128,2.3773146301711323
